claim_id,synthesis_cluster,source_id,note_id,dimension,validation_status,memo_section_target
CLM_C1_Q01_001,Definitions and conceptual separations,MULTI,C1_Q01,variables_parameters,needs_page,3. Conceptual objects
CLM_C1_Q01_001,Asset-price and wealth-measurement claims,MULTI,C1_Q01,variables_parameters,needs_page,3. Conceptual objects
CLM_C1_Q01_001,Growth and capital-formation mechanisms,MULTI,C1_Q01,variables_parameters,needs_page,3. Conceptual objects
CLM_C1_Q01_001,Unbalanced growth and overvaluation,MULTI,C1_Q01,variables_parameters,needs_page,3. Conceptual objects
CLM_C1_Q01_001,Debt rollover and dynamic efficiency,MULTI,C1_Q01,variables_parameters,needs_page,3. Conceptual objects
CLM_C1_Q01_001,Critical adaptation to urban land-rent financialization in Latin America,MULTI,C1_Q01,variables_parameters,needs_page,3. Conceptual objects
CLM_C1_Q01_002,Definitions and conceptual separations,PDF009,C1_Q01,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_002,Asset-price and wealth-measurement claims,PDF009,C1_Q01,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_002,Growth and capital-formation mechanisms,PDF009,C1_Q01,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_002,"Credit, leverage, collateral, and monetary policy",PDF009,C1_Q01,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_002,Unbalanced growth and overvaluation,PDF009,C1_Q01,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_002,Debt rollover and dynamic efficiency,PDF009,C1_Q01,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_003,Definitions and conceptual separations,PDF010,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_003,Asset-price and wealth-measurement claims,PDF010,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_003,Growth and capital-formation mechanisms,PDF010,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_003,"Credit, leverage, collateral, and monetary policy",PDF010,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_003,Debt rollover and dynamic efficiency,PDF010,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_004,Definitions and conceptual separations,PDF011,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_004,Asset-price and wealth-measurement claims,PDF011,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_004,Growth and capital-formation mechanisms,PDF011,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_004,"Credit, leverage, collateral, and monetary policy",PDF011,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q01_004,Debt rollover and dynamic efficiency,PDF011,C1_Q01,variables_parameters,validated_paraphrase,3. Conceptual objects
CLM_C1_Q02_001,Definitions and conceptual separations,MULTI,C1_Q02,variables_parameters,needs_page,1. Introduction
CLM_C1_Q02_001,Growth and capital-formation mechanisms,MULTI,C1_Q02,variables_parameters,needs_page,1. Introduction
CLM_C1_Q02_001,Unbalanced growth and overvaluation,MULTI,C1_Q02,variables_parameters,needs_page,1. Introduction
CLM_C1_Q02_001,Debt rollover and dynamic efficiency,MULTI,C1_Q02,variables_parameters,needs_page,1. Introduction
CLM_C1_Q02_001,Critical adaptation to urban land-rent financialization in Latin America,MULTI,C1_Q02,variables_parameters,needs_page,1. Introduction
CLM_C1_Q02_002,Definitions and conceptual separations,PDF009,C1_Q02,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q02_002,Asset-price and wealth-measurement claims,PDF009,C1_Q02,causality,validated_paraphrase,3. Conceptual objects
CLM_C1_Q02_002,Growth and capital-formation mechanisms,PDF009,C1_Q02,causality,validated_paraphrase,3. Conceptual objects
