question_id,source_id,cluster_id,tag,status,paper_title,question_text,note_exists,note_path
PDF001_Q01,PDF001,C4,research question,Answered,Unbalanced Growth and Land Overvaluation,What problem does the paper call the disconnection between land’s declining productive role and land’s continuing role as a store of value?,true,03_notes/questions/PDF001_Q01.md
PDF001_Q02,PDF001,C4,formal result,Answered,Unbalanced Growth and Land Overvaluation,"What are the formal conditions behind the Land Overvaluation Theorem, especially the role of unbalanced productivity growth and elasticity of substitution above one?",true,03_notes/questions/PDF001_Q02.md
PDF001_Q03,PDF001,C4,mechanism,Answered,Unbalanced Growth and Land Overvaluation,"How is the fundamental value of land defined, and how does overvaluation differ from a pure speculative bubble?",true,03_notes/questions/PDF001_Q03.md
PDF001_Q04,PDF001,C4,formal result,Pending,Unbalanced Growth and Land Overvaluation,"Which empirical facts and figures motivate the theorem, including the decline of land-intensive sectors and the wealth share of real estate?",true,03_notes/questions/PDF001_Q04.md
PDF001_Q05,PDF001,C4,formal result,Pending,Unbalanced Growth and Land Overvaluation,How does the urban-land application extend the general theorem?,true,03_notes/questions/PDF001_Q05.md
PDF001_Q06,PDF001,C4,mechanism,Pending,Unbalanced Growth and Land Overvaluation,"What mathematical objects are essential for a 5–15 page project memo, and which can be relegated to footnotes?",true,03_notes/questions/PDF001_Q06.md
PDF001_Q07,PDF001,C4,critique,Pending,Unbalanced Growth and Land Overvaluation,What are the limitations of treating land overvaluation through substitution elasticity and technological progress for Latin American land-rent financialization?,true,03_notes/questions/PDF001_Q07.md
PDF002_Q01,PDF002,C5,research question,Pending,Land and Infinite Debt Rollover,"What conventional McCallum/Homburg result about land, R>G, and debt rollover is being challenged?",true,03_notes/questions/PDF002_Q01.md
PDF002_Q02,PDF002,C5,formal result,Pending,Land and Infinite Debt Rollover,Under what conditions do land bubbles necessarily emerge in the OLG land economy?,true,03_notes/questions/PDF002_Q02.md
PDF002_Q03,PDF002,C5,mechanism,Pending,Land and Infinite Debt Rollover,How can Pareto efficiency coexist with infinite debt rollover in the model?,true,03_notes/questions/PDF002_Q03.md
PDF002_Q04,PDF002,C5,mechanism,Pending,Land and Infinite Debt Rollover,Why does the paper argue that unbalanced growth is necessary for debt rollover with land?,true,03_notes/questions/PDF002_Q04.md
PDF002_Q05,PDF002,C5,mechanism,Pending,Land and Infinite Debt Rollover,How does the CES production example revise the knife-edge balanced-growth result?,true,03_notes/questions/PDF002_Q05.md
PDF002_Q06,PDF002,C5,mechanism,Pending,Land and Infinite Debt Rollover,What distinctions should the project memo make between R<G in a landless model and R<G or rollover in a land economy?,true,03_notes/questions/PDF002_Q06.md
PDF002_Q07,PDF002,C5,critique,Pending,Land and Infinite Debt Rollover,What critical caveats matter before applying this framework to public debt debates in Latin America?,true,03_notes/questions/PDF002_Q07.md
PDF003_Q01,PDF003,C3,research question,Pending,"Credit, Land Speculation, and Low-Interest-Rate Policy",What are the main empirical facts on sectoral credit expansion that motivate the model?,true,03_notes/questions/PDF003_Q01.md
PDF003_Q02,PDF003,C3,mechanism,Pending,"Credit, Land Speculation, and Low-Interest-Rate Policy",How does the paper distinguish credit expansion for real estate from credit expansion for capital investment?,true,03_notes/questions/PDF003_Q02.md
PDF003_Q03,PDF003,C3,mechanism,Pending,"Credit, Land Speculation, and Low-Interest-Rate Policy",What is the general-equilibrium crowding-out mechanism from land speculation to lower capital formation?,true,03_notes/questions/PDF003_Q03.md
PDF003_Q04,PDF003,C3,policy/welfare,Pending,"Credit, Land Speculation, and Low-Interest-Rate Policy",How does low-interest-rate policy affect portfolio allocation when land is an alternative store of value?,true,03_notes/questions/PDF003_Q04.md
PDF003_Q05,PDF003,C3,policy/welfare,Pending,"Credit, Land Speculation, and Low-Interest-Rate Policy",What welfare distribution appears between the generation enjoying the asset boom and later generations facing lower growth?,true,03_notes/questions/PDF003_Q05.md
PDF003_Q06,PDF003,C3,policy/welfare,Pending,"Credit, Land Speculation, and Low-Interest-Rate Policy","How does this version differ from PDF013 and PDF005 in framing policy, credit, and monetary easing?",true,03_notes/questions/PDF003_Q06.md
PDF003_Q07,PDF003,C3,mechanism,Pending,"Credit, Land Speculation, and Low-Interest-Rate Policy",What concepts should be extracted for the project’s answer to private credit expansion and land-price inflation?,true,03_notes/questions/PDF003_Q07.md
PDF004_Q01,PDF004,C2,research question,Pending,Growth and Fluctuations Economies with Land Speculation,"What is the paper’s organizing research program across wobbly dynamics, land, credit, and endogenous growth?",true,03_notes/questions/PDF004_Q01.md
PDF004_Q02,PDF004,C2,mechanism,Pending,Growth and Fluctuations Economies with Land Speculation,How do multiple momentary equilibria create many rational-expectations trajectories within bounds?,true,03_notes/questions/PDF004_Q02.md
PDF004_Q03,PDF004,C2,mechanism,Pending,Growth and Fluctuations Economies with Land Speculation,How does land increase the scope for fluctuations relative to the baseline OLG model?,true,03_notes/questions/PDF004_Q03.md
PDF004_Q04,PDF004,C2,mechanism,Pending,Growth and Fluctuations Economies with Land Speculation,How do credit frictions and land speculation jointly generate lower growth or stagnation traps?,true,03_notes/questions/PDF004_Q04.md
PDF004_Q05,PDF004,C2,mechanism,Pending,Growth and Fluctuations Economies with Land Speculation,Which results are an overview of earlier papers and which are new in this paper?,true,03_notes/questions/PDF004_Q05.md
PDF004_Q06,PDF004,C2,mechanism,Pending,Growth and Fluctuations Economies with Land Speculation,How can this paper help write a non-technical map of the Hirano-Stiglitz research program?,true,03_notes/questions/PDF004_Q06.md
PDF004_Q07,PDF004,C2,translation,Pending,Growth and Fluctuations Economies with Land Speculation,What should be treated as background rather than a core result for the Fondecyt memo?,true,03_notes/questions/PDF004_Q07.md
PDF005_Q01,PDF005,C6,research question,Pending,"Henry George, Land Speculation, and Economic Growth and Transformation",What is the Henry George question being reconstructed in modern growth-and-finance terms?,true,03_notes/questions/PDF005_Q01.md
PDF005_Q02,PDF005,C6,policy/welfare,Pending,"Henry George, Land Speculation, and Economic Growth and Transformation","What counterfactuals does the paper use to analyze land speculation: landlord class, land reform, taxes, public ownership?",true,03_notes/questions/PDF005_Q02.md
PDF005_Q03,PDF005,C6,policy/welfare,Pending,"Henry George, Land Speculation, and Economic Growth and Transformation",How does land speculation reduce productive capital investment and long-run welfare?,true,03_notes/questions/PDF005_Q03.md
PDF005_Q04,PDF005,C6,policy/welfare,Pending,"Henry George, Land Speculation, and Economic Growth and Transformation","What policy instruments mitigate speculation: land-rent tax, capital-gains tax, nationalization/public investment, financial regulation?",true,03_notes/questions/PDF005_Q04.md
PDF005_Q05,PDF005,C6,mechanism,Pending,"Henry George, Land Speculation, and Economic Growth and Transformation",How does the paper challenge Kiyotaki-Moore-style collateral optimism?,true,03_notes/questions/PDF005_Q05.md
PDF005_Q06,PDF005,C6,translation,Pending,"Henry George, Land Speculation, and Economic Growth and Transformation",Which arguments are directly portable to Latin American land-use and localization-rent debates?,true,03_notes/questions/PDF005_Q06.md
PDF005_Q07,PDF005,C6,critique,Pending,"Henry George, Land Speculation, and Economic Growth and Transformation",What are the strongest limitations of the model’s institutional assumptions for peripheral economies?,true,03_notes/questions/PDF005_Q07.md
PDF006_Q01,PDF006,C2,research question,Pending,The Wobbly Economy: Global Dynamics with Phase and State Transitions,What is wobbly macro-dynamics and how does it differ from smooth convergence in representative-agent or Solow/RBC models?,true,03_notes/questions/PDF006_Q01.md
PDF006_Q02,PDF006,C2,mechanism,Pending,The Wobbly Economy: Global Dynamics with Phase and State Transitions,What assumptions produce multiplicity of momentary equilibria in the life-cycle model?,true,03_notes/questions/PDF006_Q02.md
PDF006_Q03,PDF006,C2,mechanism,Pending,The Wobbly Economy: Global Dynamics with Phase and State Transitions,What is the difference between phase transitions and state transitions?,true,03_notes/questions/PDF006_Q03.md
PDF006_Q04,PDF006,C2,mechanism,Pending,The Wobbly Economy: Global Dynamics with Phase and State Transitions,"How do productivity changes generate instability, hysteresis, or stagnation traps?",true,03_notes/questions/PDF006_Q04.md
PDF006_Q05,PDF006,C2,mechanism,Pending,The Wobbly Economy: Global Dynamics with Phase and State Transitions,What does this baseline paper contribute before land is introduced?,true,03_notes/questions/PDF006_Q05.md
PDF006_Q06,PDF006,C2,mechanism,Pending,The Wobbly Economy: Global Dynamics with Phase and State Transitions,Which concepts are necessary for interpreting later land-speculation papers and which are optional?,true,03_notes/questions/PDF006_Q06.md
PDF006_Q07,PDF006,C2,mechanism,Pending,The Wobbly Economy: Global Dynamics with Phase and State Transitions,How can the review explain this model simply to non-specialist project investigators?,true,03_notes/questions/PDF006_Q07.md
PDF007_Q01,PDF007,C2,research question,Pending,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,"How does adding land to the OLG global-dynamics model change the dynamics of capital, wages, output, and land prices?",true,03_notes/questions/PDF007_Q01.md
PDF007_Q02,PDF007,C2,mechanism,Pending,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,What is the feedback loop between land prices and capital accumulation?,true,03_notes/questions/PDF007_Q02.md
PDF007_Q03,PDF007,C2,mechanism,Pending,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,How do land booms become rational-expectations trajectories rather than irrational bubbles?,true,03_notes/questions/PDF007_Q03.md
PDF007_Q04,PDF007,C2,mechanism,Pending,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,What critical thresholds force transitions from bullish to bearish expectations or vice versa?,true,03_notes/questions/PDF007_Q04.md
PDF007_Q05,PDF007,C2,mechanism,Pending,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,How does land crowd out productive capital and worsen macro instability?,true,03_notes/questions/PDF007_Q05.md
PDF007_Q06,PDF007,C2,policy/welfare,Pending,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,What policy interventions are analyzed and what are their welfare effects?,true,03_notes/questions/PDF007_Q06.md
PDF007_Q07,PDF007,C2,mechanism,Pending,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,Which parts of this model help answer the project question on land-price inflation and capital formation?,true,03_notes/questions/PDF007_Q07.md
PDF008_Q01,PDF008,C4,research question,Pending,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles",What is the positive feedback loop between capital investment and land price in the model?,true,03_notes/questions/PDF008_Q01.md
PDF008_Q02,PDF008,C4,mechanism,Pending,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles",What is the leverage threshold that separates the fundamental region from the land-bubble region?,true,03_notes/questions/PDF008_Q02.md
PDF008_Q03,PDF008,C4,mechanism,Pending,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles",How does the model define a phase transition from balanced growth to unbalanced bubbly growth?,true,03_notes/questions/PDF008_Q03.md
PDF008_Q04,PDF008,C4,mechanism,Pending,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles",How do productivity improvements and financial loosening interact in generating land bubbles?,true,03_notes/questions/PDF008_Q04.md
PDF008_Q05,PDF008,C4,mechanism,Pending,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles","What is the relation among low interest rates, asset overvaluation, and top-end wealth concentration?",true,03_notes/questions/PDF008_Q05.md
PDF008_Q06,PDF008,C4,mechanism,Pending,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles",How does this paper differ from the OLG Hirano-Stiglitz wobbly-dynamics papers?,true,03_notes/questions/PDF008_Q06.md
PDF008_Q07,PDF008,C4,formal result,Pending,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles",Which theorem/proposition should be extracted for a compact explanation of leverage-driven land bubbles?,true,03_notes/questions/PDF008_Q07.md
PDF009_Q01,PDF009,C1,research question,Pending,"The Measurement of Wealth: Recessions, Sustainability and Inequality",How does the paper define the problem of measuring wealth for sustainability?,true,03_notes/questions/PDF009_Q01.md
PDF009_Q02,PDF009,C1,mechanism,Pending,"The Measurement of Wealth: Recessions, Sustainability and Inequality",What is the conceptual difference between measured wealth and productive capital?,true,03_notes/questions/PDF009_Q02.md
PDF009_Q03,PDF009,C1,mechanism,Pending,"The Measurement of Wealth: Recessions, Sustainability and Inequality",Why can land-value increases raise wealth without increasing productive capacity?,true,03_notes/questions/PDF009_Q03.md
